modelo,ano,preco,mileage
i3,2012,49843,90788
i3,2013,38868,100027
i3,2023,37066,36199
i3,2014,78199,110870
i3,2014,41837,94486
i3,2018,62587,98075
i3,2017,43229,96320
i3,2016,59399,47129
i3,2018,63257,66640
i3,2021,59093,103794
i3,2015,44594,51753
i3,2010,48634,18995
i3,2021,42697,110504
i3,2022,45036,74854
i3,2010,60184,6436
i3,2020,59371,74873
i3,2020,31321,28658
i3,2017,76106,24832
i3,2021,42491,34707
i3,2015,67356,92301
i3,2011,79199,121004
i3,2016,75432,20080
i3,2016,43448,147973
i3,2011,64345,74221
i3,2023,60762,84617
i3,2014,65569,148022
i3,2012,67577,96447
i3,2017,74435,98162
i3,2018,78872,95793
i3,2017,70014,12283
i3,2018,63574,35743
i3,2023,39615,73901
i3,2016,30979,48029
i3,2010,48501,77205
i3,2015,33284,63057
i3,2022,42833,46957
i3,2020,60595,49205
i3,2022,57264,84734
i3,2013,31621,92358
i3,2023,68401,82508
i3,2013,79381,67485
i3,2018,55522,110089
i3,2022,63456,138100
i3,2012,55811,48770
i3,2010,60929,54954
i3,2014,52919,53708
i3,2015,63885,137897
i3,2022,50343,14711
i3,2016,50902,50331
i3,2014,56010,61751
i3,2012,61702,56362
i3,2013,55493,27173
i3,2014,53890,46050
i3,2013,64640,114072
i3,2016,76335,43863
i3,2021,73898,90540
i3,2017,32190,37246
i3,2023,72518,14628
i3,2023,72790,124738
i3,2012,32040,25840
i3,2013,75614,45868
i3,2019,41396,15315
i3,2023,31225,46613
i3,2012,76117,5019
i3,2012,39445,83108
i3,2012,33747,106367
i3,2019,41377,83326
i3,2010,32268,83133
i3,2022,78020,8089
i3,2023,42235,36338
i3,2012,64038,99348
i3,2019,71500,141381
i3,2012,36711,12087
i3,2023,54314,92337
i3,2011,79215,74611
i3,2015,64434,38355
i3,2014,33680,27690
i3,2022,31182,55181
i3,2018,45593,86737
i3,2012,44132,110527
i3,2010,41637,73637
i3,2017,50793,109494
i3,2022,60482,74501
i3,2014,43193,141555
i3,2021,73872,101297
i3,2015,38109,41990
i3,2015,44756,146000
i3,2011,75394,92166
i3,2020,60611,120773
i3,2022,69408,46849
i3,2017,49595,71526
i3,2011,68795,141141
i3,2021,64671,114069
i3,2019,69500,111463
i3,2022,60811,113120
i3,2019,69987,139391
i3,2011,70163,52784
i3,2018,43512,107990
i3,2015,73006,32156
i3,2019,50856,89271
i3,2014,43831,121642
i3,2020,61292,56874
i3,2018,71069,28327
i3,2023,46864,44924
i3,2018,41661,62343
i3,2010,77200,63964
i3,2014,46134,13643
i3,2018,36564,80344
i3,2019,65035,27660
i3,2019,75077,74831
i3,2010,60523,102984
i3,2021,64870,18431
i3,2014,60664,111744
i3,2018,57750,142682
i3,2011,36114,23603
i3,2010,65319,69063
i3,2019,46454,13224
i3,2013,48581,77192
i3,2020,70012,21021
i3,2015,66145,99432
i3,2012,47158,98531
i3,2023,55390,26070
i3,2016,34580,51536
i3,2010,65614,122780
i3,2017,58001,124873
i3,2022,53598,143824
i3,2012,33806,66528
i3,2011,31811,59929
i3,2019,75315,143480
i3,2022,51872,144815
i3,2010,62614,36956
i3,2022,71382,51316
i3,2012,49475,75578
i3,2016,70793,55248
i3,2019,62945,74020
i3,2020,69046,13694
i3,2023,64923,104815
i3,2022,39657,88178
i3,2022,53221,146769
i3,2013,52959,108353
i3,2010,31969,32100
i3,2018,44526,58963
i3,2018,56955,119399
i3,2010,57524,115353
i3,2014,39024,123137
i3,2020,75314,109455
i3,2021,35931,17580
i3,2013,48691,64377
i3,2015,47546,13075
i3,2013,62962,125154
i3,2022,42050,20747
i3,2014,52679,88047
i3,2010,71745,30121
i3,2015,65944,26695
i3,2022,56657,123491
i3,2011,55410,103916
i3,2019,48070,46119
i3,2011,53785,130783
i3,2013,30236,130081
i3,2011,55633,111704
i3,2016,65731,117785
i3,2011,47531,22612
i3,2011,56260,24138
i3,2012,31022,92382
i3,2015,46608,41764
i3,2015,49269,108734
i3,2020,48164,21390
i3,2015,34037,51028
i3,2022,67554,58862
i3,2021,30036,109271
i3,2018,64316,89557
i3,2010,35554,61791
i3,2023,54014,113945
i3,2012,36830,56851
i3,2015,39799,130548
i3,2022,45757,99520
i3,2018,56492,137035
i3,2019,58322,42750
i3,2017,79056,143581
i3,2015,79434,111586
i3,2016,67046,49074
i3,2015,30282,94096
i3,2016,43215,144204
i3,2015,62373,48716
i3,2013,75217,71642
i3,2012,55261,117120
i3,2012,62918,97934
i3,2021,57804,10129
i3,2012,74762,72453
i3,2019,76976,7800
i3,2021,38331,84033
i3,2022,64887,136626
i3,2021,47942,80234
i3,2021,48077,126782
i3,2019,71115,129992
i3,2011,37908,7704
i3,2019,39687,124875
i3,2017,43290,125406
i3,2010,62109,149864
i3,2020,41867,139643
i3,2013,57722,122563
i3,2023,33028,61864
i3,2022,36839,87210
i3,2012,42029,73401
i3,2017,38220,146649
i3,2018,79809,139631
i3,2013,70467,56616
i3,2018,76540,130209
i3,2010,71926,145205
i3,2023,52636,41847
i3,2016,69335,80193
i3,2020,36725,70793
i3,2018,37124,36925
i3,2023,31138,94538
i3,2012,54613,139308
i3,2017,72395,126252
i3,2021,48071,128958
i3,2018,73483,8306
i3,2019,68026,40511
i3,2023,74865,85242
i3,2017,49943,48273
i3,2021,52147,42051
i3,2014,67198,110505
i3,2016,54450,74092
i3,2021,38269,114601
i3,2023,55380,14174
i3,2014,50967,60498
i3,2012,67523,21276
i3,2015,46472,95887
i3,2013,75062,68587
i3,2010,57215,80895
i3,2011,50351,143277
i3,2023,57552,113864
i3,2020,59938,93143
i3,2013,42594,19028
i3,2022,38977,45504
i3,2012,54301,64412
i3,2019,42184,118568
i3,2021,46710,33540
i3,2023,68488,107718
i3,2013,75063,53472
i3,2014,67432,110634
i3,2021,46431,146699
i3,2020,65337,73093
i3,2017,33192,112102
i3,2013,56789,19748
i3,2012,34902,24959
i3,2022,74357,51748
i3,2021,55302,11914
i3,2013,45791,5348
i3,2014,30188,98528
i3,2011,35685,5434
i3,2022,62972,53827
i3,2011,57527,32926
i3,2016,64234,112940
i3,2012,41869,59342
i3,2010,40732,127433
i3,2017,69810,36571
i3,2022,44347,12463
i3,2017,70942,87311
i3,2016,30407,145695
i3,2017,46779,40540
i3,2015,69922,61590
i3,2023,65865,40328
i3,2020,32045,71969
i3,2014,64357,62798
i3,2018,40677,131189
i3,2014,67464,89342
i3,2017,50082,104212
i3,2012,65803,90716
i3,2015,61230,124898
i3,2013,40190,76472
i3,2022,79706,69246
i3,2019,38782,145904
i3,2017,64477,134136
i3,2018,72281,24646
i3,2012,42571,73552
i3,2019,64520,128924
i3,2020,56426,77542
i3,2023,60785,82867
i3,2019,38861,38357
i3,2012,58433,8441
i3,2015,47786,100609
i3,2022,56480,101821
i3,2022,57656,135880
i3,2017,79115,97764
i3,2014,36583,112062
i3,2010,64881,137615
i3,2010,36812,58756
i3,2020,42235,17358
i3,2019,65357,78428
i3,2021,50071,73781
i3,2020,59474,26763
i3,2018,61519,44913
i3,2014,32668,119191
i3,2018,72492,54581
i3,2012,46747,82135
i3,2021,60716,146767
i3,2020,67367,19247
i3,2011,53758,14418
i3,2017,65233,110578
i3,2018,32163,60214
i3,2014,44235,34590
i3,2018,44571,18224
i3,2016,53985,63280
i3,2019,52762,137823
i3,2021,72872,90781
i3,2012,66494,116454
i3,2019,77155,54099
i3,2023,43597,21434
i3,2014,75984,119683
i3,2020,65081,32820
i3,2022,42012,122567
i3,2021,74981,125776
i3,2017,58239,100553
i3,2012,54611,64265
i3,2023,70412,26867
i3,2021,36408,68050
i3,2013,78165,72705
i3,2012,75301,67957
i3,2011,60095,74352
i3,2022,63208,24878
i3,2017,50040,28879
i3,2023,33261,114752
i3,2013,42202,131864
i3,2011,36939,75203
i3,2013,30853,13722
i3,2012,43171,24466
i3,2020,38634,94567
i3,2015,55424,62119
i3,2023,43512,132753
i3,2019,40406,102611
i3,2018,56770,132047
i3,2011,49981,69644
i3,2014,55876,135396
i3,2014,49939,89424
i3,2016,44868,28975
i3,2021,53184,93094
i3,2021,61594,86530
i3,2021,53693,146167
i3,2014,56864,71780
i3,2012,33437,50095
i3,2023,37145,54054
i3,2010,46411,77900
i3,2018,62636,55614
i3,2015,72819,5641
i3,2011,42394,96925
i3,2015,58835,25420
i3,2013,79746,67252
i3,2010,49173,124949
i3,2012,35313,75645
i3,2020,49243,147214
i3,2018,31580,118934
i3,2010,50867,90258
i3,2014,45703,131671
i3,2018,61676,117810
i3,2014,49080,88970
i3,2019,49922,95048
i3,2011,45577,42185
i3,2023,31589,80270
i3,2014,79252,65909
i3,2017,61287,142598
i3,2021,35801,115652
i3,2022,31603,39131
i3,2021,76640,59742
i3,2013,52873,58498
i3,2016,50418,28422
i3,2010,66993,26416
i3,2018,70180,130437
i3,2011,50732,18318
i3,2012,58253,16373
i3,2010,50545,29991
i3,2011,72767,28891
i3,2017,51471,126465
i3,2012,59095,29447
i3,2014,71124,110923
i3,2018,43462,16404
i3,2014,50233,83879
i3,2019,41686,137372
i3,2018,79736,96754
i3,2023,69860,55778
i3,2018,41675,30978
i3,2012,63060,58810
i3,2023,30873,84462
i3,2022,65530,34795
i3,2019,44674,77075
i3,2014,34695,136814
i3,2020,73604,125143
i3,2015,71638,101302
i3,2017,30632,45034
i3,2013,70590,59695
i3,2018,52136,61195
i3,2019,74319,100605
i3,2020,79736,112405
i3,2015,71549,36650
i3,2017,72982,81105
i3,2016,73554,121015
i3,2016,36681,117790
i3,2014,79439,132775
i3,2018,70372,42736
i3,2013,59316,108722
i3,2019,45569,47912
i3,2010,68955,82226
i3,2014,34037,89515
i3,2023,32600,117833
i3,2013,75665,49395
i3,2020,57516,105549
i3,2015,32796,108874
i3,2017,67343,65398
i3,2020,45846,8982
i3,2015,69697,80229
i3,2011,70940,21961
i3,2011,58601,21259
i3,2016,34784,25452
i3,2010,56822,14668
i3,2017,79904,83504
i3,2011,54840,90531
i3,2016,30629,119270
i3,2016,50361,61201
i3,2018,42065,68883
i3,2014,43287,74418
i3,2023,55040,68177
i3,2014,63051,26929
i3,2017,44344,39731
i3,2016,30188,108143
i3,2013,66696,111643
i3,2021,37604,120739
i3,2018,42646,26324
i3,2016,74276,37759
i3,2016,65068,132843
i3,2019,49259,110426
i3,2014,34712,15412
i3,2013,75392,148632
i3,2013,52853,76675
i3,2017,40025,133172
i3,2022,61603,56170
i3,2022,64452,115758
i3,2022,39628,97851
i3,2018,69509,132900
i3,2013,35250,25073
i3,2021,52385,59000
i3,2017,66836,73304
i3,2011,70208,89251
i3,2021,55028,148823
i3,2019,78643,128718
i3,2021,59201,97901
i3,2023,78148,149813
i3,2012,64420,113615
i3,2022,77751,75775
i3,2010,73977,138389
i3,2022,37820,55883
i3,2018,35849,73029
i3,2019,76142,141569
i3,2022,57298,23751
i3,2013,52955,88917
i3,2016,79285,68834
i3,2017,31184,13058
i3,2016,48382,144829
i3,2018,38038,87529
i3,2022,71021,96091
i3,2019,36090,110472
i3,2015,48007,114314
i3,2014,54670,43278
i3,2011,60385,6836
i3,2015,52514,28113
i3,2010,55086,81629
i3,2019,69296,93705
i3,2017,35775,86086
i3,2015,51631,68589
i3,2021,49649,138628
i3,2016,75255,141145
i3,2022,61368,65473
i3,2020,67347,82150
i3,2017,79298,122467
i3,2019,77409,111842
i3,2020,33793,16444
i3,2020,49707,128130
i3,2016,30009,49105
i3,2011,55946,111809
i3,2017,62604,145665
i3,2013,55618,37432
i3,2011,66075,25990
i3,2013,43100,29818
i3,2017,59386,10087
i3,2019,63501,46229
i3,2015,30760,149855
i3,2016,79282,96752
i3,2012,33920,60807
i3,2022,38331,134745
i3,2017,64864,44707
i3,2023,35883,122223
i3,2022,45244,59213
i3,2012,59578,66447
i3,2011,42367,69570
i3,2015,74439,56611
i3,2023,31260,117750
i3,2018,57764,85360
i3,2012,52993,31339
i3,2020,40854,129880
i3,2012,50881,21272
i3,2015,70184,59356
i3,2014,52414,18454
i3,2014,71399,130598
i3,2023,57398,97334
i3,2018,71962,137096
i3,2019,41881,45629
i3,2020,76718,131978
i3,2018,78153,116737
i3,2022,54913,137370
i3,2016,58162,93371
i3,2015,38900,87977
i3,2010,63669,55363
i3,2015,42691,74318
i3,2017,40867,97337
i3,2017,66321,54353
i3,2018,61521,67398
i3,2022,34789,135966
i3,2013,67171,129242
i3,2011,40864,17110
i3,2019,73940,35717
i3,2012,49592,9492
i3,2010,31239,115207
i3,2012,53068,145830
i3,2014,77726,95203
i3,2011,47863,10683
i3,2017,50612,129987
i3,2021,30176,40253
i3,2013,35677,130547
i3,2020,40304,67358
i3,2013,60499,51490
i3,2010,68423,91172
i3,2012,35456,47645
i3,2015,42673,109685
i3,2020,30538,51645
i3,2023,50245,83301
i3,2017,76963,90874
i3,2022,45148,66878
i3,2021,48225,138445
i3,2011,35067,74738
i3,2017,35342,125810
i3,2016,37631,115748
i3,2019,65400,70974
i3,2016,63904,51752
i3,2019,77240,128378
i3,2016,57648,51331
i3,2021,38993,72685
i3,2021,56308,126668
i3,2016,74017,131663
i3,2012,77689,8209
i3,2013,40542,65061
i3,2022,55926,47794
i3,2014,60433,11666
i3,2019,55279,116169
i3,2012,34259,68227
i3,2022,45378,48568
i3,2023,57861,79175
i3,2015,53269,90909
i3,2018,56495,104217
i3,2021,41245,70102
i3,2022,40632,75111
i3,2011,52448,33447
i3,2017,40753,127575
i3,2020,32703,28404
i3,2020,69824,107700
i3,2016,52377,83733
i3,2017,30852,7106
i3,2019,41722,20582
i3,2017,76026,142275
i3,2011,77335,133222
i3,2015,79677,46145
i3,2015,41700,42969
i3,2010,46915,62724
i3,2021,66088,81189
i3,2018,36592,81691
i3,2015,37420,101716
i3,2015,58809,61656
i3,2019,66080,132357
i3,2015,61641,77435
i3,2015,39521,24032
i3,2017,50113,133867
i3,2023,64255,26604
i3,2011,51301,29060
i3,2021,66560,19281
i3,2011,31820,12377
i3,2010,71893,37120
i3,2015,30696,93643
i3,2017,46690,138287
i3,2013,62303,148890
i3,2017,35046,37046
i3,2020,79697,36968
i3,2021,53241,63200
i3,2020,68388,129572
i3,2017,37914,100304
i3,2023,70677,109389
i3,2018,49755,123010
i3,2019,46046,115110
i3,2013,61883,79520
i3,2021,61083,38558
i3,2020,78522,98301
i3,2019,55347,125907
i3,2015,46278,20756
i3,2022,36233,70313
i3,2023,67023,51202
