modelo,ano,preco,mileage
X1,2021,56765,49885
Z4,2018,39356,96685
3 Series,2010,75671,136616
5 Series,2021,70201,49532
5 Series,2020,31988,92502
3 Series,2015,46686,8894
i3,2012,49843,90788
5 Series,2022,60483,19704
Z4,2013,67364,17337
Z4,2021,36184,90379
i3,2011,20637,21976
i3,2013,38868,100027
X1,2020,44616,75458
X1,2022,64887,45327
X1,2017,15061,106285
5 Series,2019,44032,7419
5 Series,2023,55312,31770
i3,2023,37066,36199
3 Series,2014,25014,55396
5 Series,2010,52466,142104
3 Series,2018,44939,53080
5 Series,2021,15183,92224
i3,2014,78199,110870
Z4,2019,43017,84973
3 Series,2020,28470,87166
3 Series,2011,19288,12988
5 Series,2023,74538,16325
Z4,2016,71876,9746
X1,2022,65908,95079
Z4,2013,75874,117880
3 Series,2010,59077,87651
X1,2021,20871,86300
Z4,2017,25965,139752
X1,2011,68016,120208
3 Series,2022,79911,138287
i3,2014,41837,94486
i3,2018,62587,98075
Z4,2013,68626,25847
i3,2017,43229,96320
3 Series,2017,23732,126161
X1,2020,60630,28170
i3,2016,59399,47129
i3,2018,63257,66640
Z4,2016,45172,76409
Z4,2010,76919,134816
Z4,2017,26703,113632
i3,2017,27526,145390
i3,2021,59093,103794
Z4,2012,67999,133324
5 Series,2018,63044,75724
Z4,2010,73954,140948
Z4,2021,68700,134546
X1,2020,73951,148924
3 Series,2011,40881,74739
i3,2015,44594,51753
3 Series,2012,39231,86335
3 Series,2017,53492,106271
Z4,2023,24824,61557
3 Series,2018,69941,115771
i3,2010,48634,18995
5 Series,2015,37283,85452
5 Series,2020,44175,10680
5 Series,2015,63004,32318
i3,2021,42697,110504
Z4,2011,53518,136958
3 Series,2022,66126,31411
3 Series,2017,32811,110573
X1,2011,43028,14927
3 Series,2011,27843,13988
5 Series,2011,76182,17073
Z4,2023,72012,97130
X1,2018,25916,140549
Z4,2016,57740,6635
X1,2014,64400,5706
3 Series,2020,31138,90035
3 Series,2011,30033,24424
X1,2011,54754,122311
3 Series,2017,31859,139011
Z4,2015,53182,142403
3 Series,2013,32198,71748
3 Series,2011,34018,87141
i3,2022,45036,74854
X1,2018,22882,41498
3 Series,2016,58228,117915
5 Series,2014,78830,145909
i3,2010,60184,6436
3 Series,2013,75951,81710
5 Series,2021,56177,7204
X1,2010,76956,133576
3 Series,2011,30556,79563
Z4,2013,42462,50473
5 Series,2017,43504,31862
i3,2020,59371,74873
Z4,2020,79141,33721
X1,2014,46251,143283
Z4,2019,67855,61186
5 Series,2011,27837,87406
X1,2017,53654,56116
X1,2014,38648,99091
3 Series,2010,22119,82041
i3,2020,31321,28658
i3,2017,76106,24832
Z4,2020,15551,16298
5 Series,2018,56800,57986
i3,2019,16692,126657
X1,2022,63240,144316
Z4,2017,44851,40269
i3,2021,42491,34707
X1,2011,68004,31315
X1,2022,33872,139558
Z4,2020,53836,28580
3 Series,2010,72804,133853
i3,2015,67356,92301
X1,2017,42284,142306
i3,2011,79199,121004
i3,2016,75432,20080
Z4,2019,32089,115994
X1,2020,72762,21380
X1,2010,39921,54187
i3,2015,29368,8440
3 Series,2019,65769,92872
5 Series,2011,61063,127252
Z4,2022,25746,91699
3 Series,2023,25668,16640
X1,2020,36472,68164
Z4,2013,16870,74830
X1,2018,51335,80243
3 Series,2021,71712,42464
X1,2019,51419,57126
3 Series,2015,21873,47870
3 Series,2015,71718,131729
3 Series,2023,62772,18510
5 Series,2015,30304,121898
Z4,2016,62477,149362
i3,2016,43448,147973
X1,2023,63374,66551
3 Series,2015,74424,97608
X1,2020,29128,26380
Z4,2017,49072,114858
X1,2015,29944,140355
Z4,2019,20143,82044
Z4,2020,55894,81647
i3,2011,64345,74221
X1,2012,45055,82399
3 Series,2016,25014,95045
Z4,2019,33031,38847
Z4,2018,24072,144797
5 Series,2018,68838,136616
i3,2023,60762,84617
i3,2014,65569,148022
Z4,2020,27613,56308
3 Series,2022,78256,123880
X1,2013,76143,10630
X1,2017,65242,103904
3 Series,2022,68010,75851
5 Series,2010,24191,37882
X1,2018,30753,8396
Z4,2018,41831,90900
i3,2011,21311,28312
Z4,2015,42733,34411
Z4,2018,63067,79964
3 Series,2021,22452,53693
Z4,2019,64586,143740
X1,2017,44910,115161
X1,2012,64895,21931
Z4,2021,45085,130941
X1,2015,65612,133450
Z4,2014,15324,82091
5 Series,2017,41518,46476
Z4,2013,35346,50923
X1,2019,30626,49800
Z4,2022,47346,125087
i3,2012,67577,96447
5 Series,2020,17663,30875
Z4,2013,54248,27506
5 Series,2023,45022,83853
Z4,2020,38373,112718
3 Series,2020,69185,116546
5 Series,2010,76809,56262
Z4,2019,69223,132681
3 Series,2016,58488,30384
5 Series,2022,47640,76293
5 Series,2023,46004,68163
3 Series,2023,63112,66871
i3,2017,74435,98162
5 Series,2017,51903,20262
i3,2019,27574,141107
i3,2018,78872,95793
i3,2017,70014,12283
Z4,2019,71599,147330
X1,2018,57784,23658
X1,2017,67032,43711
Z4,2016,78614,53554
i3,2018,63574,35743
Z4,2010,50704,30968
3 Series,2011,35408,62688
X1,2018,63169,37202
i3,2012,26436,57753
i3,2020,29543,128541
Z4,2012,24290,113369
5 Series,2022,72476,95852
Z4,2023,31733,117589
Z4,2020,43639,56557
3 Series,2021,19215,40103
5 Series,2021,18955,56869
X1,2023,17989,87631
5 Series,2023,22774,129611
Z4,2021,60443,104932
Z4,2023,36872,5750
3 Series,2010,53166,73653
5 Series,2018,56020,21765
X1,2012,42868,99149
5 Series,2022,46680,109637
Z4,2023,31807,139748
5 Series,2010,58093,122147
X1,2016,18493,64037
3 Series,2017,50429,29795
X1,2014,67040,11827
5 Series,2012,79805,67714
5 Series,2019,61650,55493
5 Series,2022,21423,85036
5 Series,2021,57795,27546
3 Series,2023,70238,68147
Z4,2019,46685,22061
3 Series,2016,47417,68760
X1,2022,35107,145149
X1,2012,17176,67851
3 Series,2014,21459,6668
Z4,2020,77846,84989
X1,2023,72548,70536
5 Series,2020,75423,132423
5 Series,2015,64222,48119
5 Series,2018,54809,13186
3 Series,2021,24913,75920
3 Series,2010,51660,129178
X1,2017,43482,132573
i3,2023,39615,73901
i3,2018,25138,97790
3 Series,2021,77100,90531
i3,2016,30979,48029
X1,2011,78929,94359
i3,2010,48501,77205
Z4,2021,29088,134776
5 Series,2016,32452,134673
Z4,2023,33269,91292
3 Series,2018,60750,84279
i3,2015,33284,63057
X1,2022,68454,132812
Z4,2012,77638,106342
5 Series,2020,38524,32929
X1,2021,49437,58443
Z4,2023,64741,128101
i3,2022,42833,46957
i3,2020,60595,49205
X1,2013,50386,145930
X1,2012,64632,50486
3 Series,2012,40953,122131
5 Series,2014,27175,19998
5 Series,2014,64203,137264
X1,2015,21250,64506
3 Series,2022,51443,55608
3 Series,2020,28992,125125
3 Series,2023,19854,23158
Z4,2021,55266,146422
i3,2022,57264,84734
Z4,2015,42200,42829
Z4,2018,67765,67908
5 Series,2015,47567,55376
Z4,2013,36116,93397
Z4,2013,64497,59560
Z4,2010,68820,31173
Z4,2015,55309,17701
3 Series,2021,73292,71845
X1,2014,17603,14573
X1,2020,50873,59292
3 Series,2014,75291,104171
i3,2013,31621,92358
X1,2014,54250,82360
5 Series,2011,43929,131217
5 Series,2016,35677,76076
X1,2019,45061,78815
3 Series,2013,55214,12312
X1,2014,46745,24316
i3,2023,68401,82508
5 Series,2011,64472,136399
Z4,2020,72713,115399
i3,2013,79381,67485
Z4,2013,62846,43780
X1,2014,78834,30747
X1,2015,32898,25674
X1,2019,54618,128142
3 Series,2010,42846,121914
X1,2014,74629,53767
X1,2018,26589,38143
3 Series,2013,79814,83545
Z4,2022,39598,74157
Z4,2013,48293,76703
3 Series,2019,68038,129764
Z4,2022,39785,70526
i3,2018,55522,110089
5 Series,2013,48173,64297
5 Series,2010,66285,115782
X1,2016,26262,22932
3 Series,2018,65099,45214
Z4,2022,26524,34845
5 Series,2014,51923,11574
3 Series,2020,18415,80665
5 Series,2022,34867,125938
5 Series,2018,60779,75494
3 Series,2013,39349,123752
3 Series,2019,22234,81037
5 Series,2016,35099,21414
Z4,2017,51368,84142
5 Series,2015,43761,62568
X1,2016,54740,98803
5 Series,2022,64052,36132
3 Series,2011,23306,105182
Z4,2020,63582,94976
Z4,2013,77549,119662
3 Series,2021,27695,106036
i3,2015,17079,48903
Z4,2018,46318,125762
Z4,2019,18419,128592
3 Series,2021,37624,40694
i3,2022,63456,138100
Z4,2010,45437,75174
